environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window,arrival_demand,exit_lane_capacity,queue_length,overflow_count,overflow_duration_seconds,speed_kmh,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,phase_switch_timing_error_seconds
sumo,city1_i02,city_1,City 1,4way,balanced,medium,6,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.4662
sumo,city1_i02,city_1,City 1,4way,balanced,medium,6,midday,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.4957
sumo,city1_i02,city_1,City 1,4way,balanced,medium,6,pm_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.4629
sumo,city1_i02,city_1,City 1,4way,balanced,medium,6,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5636
sumo,city1_i02,city_1,City 1,4way,balanced,medium,7,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.4737
sumo,city1_i02,city_1,City 1,4way,balanced,medium,7,midday,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5762
sumo,city1_i02,city_1,City 1,4way,balanced,medium,7,pm_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5215
sumo,city1_i02,city_1,City 1,4way,balanced,medium,7,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5676
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,1,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.6078
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,1,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5053
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,1,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5814
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,1,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.531
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,2,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4618
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,2,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5319
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,2,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4937
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,2,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5068
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,3,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.546
