arrival_demand,average_delay_seconds,average_travel_time,exit_lane_capacity,mean_vehicle_distance,overflow_count,overflow_duration_seconds,phase_switch_timing_error_seconds,queue_length,safety_violation_rate,speed_kmh,stop_frequency,throughput,environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window
909.9628,129.6522,110.9078,2720.8928,192.7061,624.1268,611.1745,0.4875,967.6961,0.2327,12.9569,1.5254,850.0701,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,4,evening
906.7985,131.8827,110.9078,2714.7018,192.7061,612.5049,623.6344,0.4086,960.9259,0.2367,12.9574,1.5328,861.5808,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,5,am_peak
900.6571,131.8722,110.9078,2772.2286,192.7061,617.5308,615.5977,0.4728,969.2429,0.2348,13.0415,1.4978,853.9839,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,5,midday
895.8969,130.4588,110.9078,2724.4926,192.7061,612.1488,621.7187,0.4722,953.102,0.2332,12.829,1.5306,850.6377,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,5,pm_peak
906.8524,129.6492,110.9078,2755.132,192.7061,612.5761,622.0939,0.4154,957.8079,0.2338,12.9802,1.5123,855.0693,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,5,evening
903.7515,130.3057,110.9078,2729.9114,192.7061,618.4537,621.1012,0.402,953.6156,0.2324,13.0688,1.5059,850.4317,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,6,am_peak
891.7128,129.9775,110.9078,2754.5494,192.7061,609.6903,616.2522,0.4289,964.0283,0.2325,13.0703,1.5292,854.1406,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,6,midday
905.4591,129.6429,110.9078,2761.0442,192.7061,622.0795,618.3223,0.4033,974.5514,0.2341,13.0325,1.5045,848.9839,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,6,pm_peak
897.2509,132.5976,110.9078,2742.4194,192.7061,617.1727,613.9986,0.4779,953.4259,0.2326,13.0422,1.5102,849.9371,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,6,evening
890.3502,130.9158,110.9078,2772.1235,192.7061,617.2733,619.4188,0.4107,971.47,0.2366,12.9458,1.5116,853.4964,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,7,am_peak
902.701,130.3316,110.9078,2763.7376,192.7061,614.7927,619.4255,0.4851,958.6501,0.2368,12.8558,1.5199,866.855,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,7,midday
902.2996,131.0654,110.9078,2754.4636,192.7061,619.0821,621.7118,0.4442,968.9576,0.2353,12.9365,1.5167,854.833,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,7,pm_peak
894.485,130.1235,110.9078,2722.9863,192.7061,613.0717,622.7877,0.4718,965.1504,0.233,13.0958,1.5177,849.5998,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,7,evening
901.6466,156.4072,123.7122,2453.2444,189.1705,616.3917,618.1658,0.5049,983.2916,0.2367,11.6341,1.8898,786.2163,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,1,am_peak
899.7457,157.257,123.7122,2489.3509,189.1705,622.968,615.9716,0.4265,984.4682,0.2335,11.5084,1.8879,796.0119,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,1,midday
901.3432,158.9661,123.7122,2493.9175,189.1705,615.0251,621.9378,0.4812,989.9547,0.2369,11.6514,1.8838,779.1784,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,1,pm_peak
896.934,158.4599,123.7122,2474.5931,189.1705,617.9473,617.6009,0.4491,985.2309,0.2365,11.6016,1.9005,788.0511,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,1,evening
899.5337,158.7902,123.7122,2471.3469,189.1705,613.7586,621.5477,0.3936,982.0731,0.2352,11.5496,1.8774,784.0852,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,2,am_peak
900.3895,158.0365,123.7122,2475.2927,189.1705,610.3616,609.7977,0.4447,1001.9766,0.2359,11.6591,1.8873,794.6138,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,2,midday
905.9212,158.4818,123.7122,2472.451,189.1705,615.906,613.3938,0.4179,991.4842,0.2359,11.5957,1.8978,793.6278,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,2,pm_peak
907.1073,156.2209,123.7122,2508.4136,189.1705,615.3458,622.1173,0.4269,987.2242,0.2325,11.6434,1.8726,795.8387,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,2,evening
898.6788,156.2261,123.7122,2460.4416,189.1705,618.4016,609.9615,0.4582,981.6302,0.2342,11.6965,1.8773,787.1715,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,3,am_peak
904.5745,156.8072,123.7122,2488.87,189.1705,610.8714,622.9076,0.4306,1002.3679,0.234,11.6472,1.9083,794.2356,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,3,midday
889.6959,155.8853,123.7122,2503.3181,189.1705,617.0704,613.8327,0.4382,997.8119,0.2345,11.7167,1.8767,778.906,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,3,pm_peak
900.4197,157.422,123.7122,2474.8804,189.1705,620.7349,612.5155,0.4408,991.7105,0.2323,11.6995,1.913,784.5751,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,3,evening
907.9654,156.4976,123.7122,2480.1915,189.1705,620.1442,610.2724,0.4115,1001.0636,0.2347,11.6063,1.8924,778.692,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,4,am_peak
905.7976,156.0565,123.7122,2455.6271,189.1705,624.1056,613.3907,0.4882,997.6054,0.2351,11.4625,1.9096,794.6795,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,4,midday
900.5938,156.4705,123.7122,2471.0572,189.1705,621.488,618.3008,0.4979,992.2924,0.234,11.4922,1.9023,783.2043,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,4,pm_peak
899.1863,156.1953,123.7122,2478.499,189.1705,616.4365,619.0606,0.4973,992.3607,0.2338,11.4807,1.8832,789.5567,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,4,evening
895.1305,157.8849,123.7122,2495.9026,189.1705,614.9253,621.8971,0.4031,995.1875,0.2359,11.7166,1.8998,782.0936,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,5,am_peak
894.0872,156.8051,123.7122,2472.4619,189.1705,614.2736,618.7492,0.418,984.7131,0.2344,11.5737,1.8919,780.7893,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,5,midday
908.9625,158.2335,123.7122,2470.5996,189.1705,616.3438,620.4516,0.4267,987.2277,0.2318,11.6417,1.8893,780.6182,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,5,pm_peak
896.0828,158.0411,123.7122,2473.0809,189.1705,617.7416,613.0296,0.4477,991.4916,0.2327,11.536,1.8782,793.208,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,5,evening
895.9388,156.7021,123.7122,2509.0309,189.1705,616.1592,612.8737,0.3939,981.1698,0.2327,11.6124,1.907,785.525,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,6,am_peak
901.2818,158.5246,123.7122,2481.0147,189.1705,617.7816,611.3376,0.4835,990.9492,0.2364,11.6935,1.9132,791.2937,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,6,midday
900.7716,158.3602,123.7122,2484.7431,189.1705,619.8637,612.6265,0.5014,981.0849,0.2351,11.4663,1.8747,789.3533,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,6,pm_peak
893.9709,158.3109,123.7122,2511.8236,189.1705,614.7541,620.6713,0.4586,986.859,0.2342,11.6554,1.8878,778.6608,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,6,evening
903.6799,156.711,123.7122,2469.4977,189.1705,622.8933,615.0709,0.4951,981.1804,0.2361,11.688,1.8857,791.4439,cityflow_calibrated,city1_i03,city_1,City 1,4way,mild_imbalance,medium,7,am_peak
