method,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,setting,setting_description
default_sim,city3_i12,city_3,4way,mild_imbalance,medium,20552.0754,334.4977,0.5704,23468.7794,0.7738,170.3145,0.2119,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i12,city_3,4way,mild_imbalance,medium,9435.0218,164.0259,0.8821,25004.9196,0.6366,136.3609,0.0709,V1,lighter vehicle dynamics
default_sim,city3_i13,city_3,3way,severe_imbalance,high,19597.3453,316.5363,0.5703,13595.3812,0.3084,67.9389,0.2134,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i13,city_3,3way,severe_imbalance,high,9398.2387,161.4737,0.882,14451.025,0.2561,54.9202,0.077,V1,lighter vehicle dynamics
default_sim,city3_i14,city_3,4way,balanced,medium,20572.1772,335.0732,0.5685,26135.5688,0.6531,143.8899,0.213,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i14,city_3,4way,balanced,medium,9457.4089,163.5615,0.8817,27860.9847,0.5366,114.9146,0.0699,V1,lighter vehicle dynamics
default_sim,city3_i15,city_3,3way,balanced,low,1445.6847,23.7205,0.5822,13461.5005,0.0601,13.0331,0.2024,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i15,city_3,3way,balanced,low,657.9142,11.5371,0.8848,14362.4017,0.0491,10.5095,0.0654,V1,lighter vehicle dynamics
default_sim,city3_i16,city_3,4way,mild_imbalance,medium,20343.6296,332.8063,0.5704,23468.7794,0.7738,170.3145,0.2119,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i16,city_3,4way,mild_imbalance,medium,9708.5038,166.3901,0.8821,25004.9196,0.6366,136.3609,0.0709,V1,lighter vehicle dynamics
default_sim,city3_i17,city_3,4way,severe_imbalance,high,21069.3583,340.9005,0.5683,22070.895,1.0296,226.844,0.2149,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i17,city_3,4way,severe_imbalance,high,10088.919,173.5644,0.8816,23459.9568,0.8557,183.5214,0.0773,V1,lighter vehicle dynamics
default_sim,city3_i18,city_3,3way,mild_imbalance,medium,10888.6119,177.3455,0.5783,13453.4404,0.0988,21.4945,0.2061,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i18,city_3,3way,mild_imbalance,medium,4984.7076,87.2508,0.8839,14334.0303,0.081,17.3459,0.0696,V1,lighter vehicle dynamics
default_sim,city3_i19,city_3,4way,balanced,medium,20419.7498,333.8377,0.5685,26135.5688,0.6531,143.8899,0.213,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i19,city_3,4way,balanced,medium,9538.9517,164.2668,0.8817,27860.9847,0.5366,114.9146,0.0699,V1,lighter vehicle dynamics
default_sim,city3_i20,city_3,4way,balanced,low,20642.9576,335.2617,0.5685,26145.2254,0.6531,143.8899,0.2125,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i20,city_3,4way,balanced,low,9363.2533,161.4766,0.8817,27894.9758,0.5349,114.4778,0.0677,V1,lighter vehicle dynamics
default_sim,city3_i21,city_3,3way,mild_imbalance,medium,11011.121,178.3448,0.5783,13453.4404,0.0988,21.4945,0.2061,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i21,city_3,3way,mild_imbalance,medium,5051.1118,87.8267,0.8839,14334.0303,0.081,17.3459,0.0696,V1,lighter vehicle dynamics
default_sim,city1_i01,city_1,4way,balanced,medium,28175.4826,478.7353,0.5364,23441.0022,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i01,city_1,4way,balanced,medium,14968.2704,257.9948,0.8624,25112.0113,0.6041,134.93,0.1137,V2,heavier vehicle dynamics
default_sim,city1_i02,city_1,4way,balanced,medium,27958.0882,476.893,0.5364,23441.0022,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i02,city_1,4way,balanced,medium,14646.7328,255.2173,0.8624,25112.0113,0.6041,134.93,0.1137,V2,heavier vehicle dynamics
default_sim,city1_i03,city_1,4way,mild_imbalance,medium,28254.7372,479.4069,0.5387,21049.6434,0.8591,197.2335,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i03,city_1,4way,mild_imbalance,medium,14843.7766,257.6591,0.8629,22539.5407,0.7162,160.0363,0.1147,V2,heavier vehicle dynamics
default_sim,city1_i04,city_1,4way,mild_imbalance,medium,28169.7732,478.6869,0.5387,21049.6434,0.8591,197.2335,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i04,city_1,4way,mild_imbalance,medium,15132.0579,260.1495,0.8629,22539.5407,0.7162,160.0363,0.1147,V2,heavier vehicle dynamics
default_sim,city1_i05,city_1,4way,severe_imbalance,high,28692.8643,483.6799,0.536,19797.8935,1.1432,262.4537,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i05,city_1,4way,severe_imbalance,high,15419.4236,267.5564,0.8623,21154.4504,0.9618,215.1219,0.1218,V2,heavier vehicle dynamics
default_sim,city1_i06,city_1,4way,balanced,medium,28769.0786,483.7658,0.5364,23441.0022,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
